(u'bhphotovideo.com', 'bhphotovideo-corp.com.', 'bhphotovideo-corp.com', 'combo', '46.51.179.61')
(u'bhphotovideo.com', 'bhphotovideo.com.sg.', 'bhphotovideo.com.sg', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotevideo.com.', 'bhphotevideo.com', u'homo', '165.160.13.20')
(u'bhphotovideo.com', 'bhphatovideo.com.', 'bhphatovideo.com', u'homo', '165.160.15.20')
(u'bhphotovideo.com', 'bhphotovideo.it.', 'bhphotovideo.it', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'hhphotovideo.com.', 'hhphotovideo.com', u'typo', '98.124.245.24')
(u'bhphotovideo.com', 'bhphotovideo.dk.', 'bhphotovideo.dk', 'wrongTLD', '165.160.15.20')
(u'bhphotovideo.com', 'bhphotovideo-corp.com.', 'bhphotovideo-corp.com', 'combo', '54.247.124.229')
(u'bhphotovideo.com', 'bhphotovideo.org.il.', 'bhphotovideo.org.il', 'wrongTLD', '165.160.15.20')
(u'bhphotovideo.com', 'bhphotovideo.pe.', 'bhphotovideo.pe', 'wrongTLD', '165.160.15.20')
(u'bhphotovideo.com', 'bphotovideo.com.', 'bphotovideo.com', u'typo', '185.53.178.7')
(u'bhphotovideo.com', 'bhphotovideo.com.ec.', 'bhphotovideo.com.ec', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bbphotovideo.com.', 'bbphotovideo.com', u'typo', '67.195.61.46')
(u'bhphotovideo.com', 'b-hphotovideo.org.', 'b-hphotovideo.org', u'typo', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotovideo.com.do.', 'bhphotovideo.com.do', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bhphatovideo.com.', 'bhphatovideo.com', u'homo', '165.160.13.20')
(u'bhphotovideo.com', 'b-hphotovideo.net.', 'b-hphotovideo.net', u'typo', '74.113.188.100')
(u'bhphotovideo.com', 'hphotovideo.com.', 'hphotovideo.com', u'typo', '54.72.9.51')
(u'bhphotovideo.com', 'bhphotovideo.dk.', 'bhphotovideo.dk', 'wrongTLD', '165.160.13.20')
(u'bhphotovideo.com', 'bhphotovideo.biz.', 'bhphotovideo.biz', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotovideo.kr.', 'bhphotovideo.kr', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bhpohotovideo.com.', 'bhpohotovideo.com', u'typo', '165.160.15.20')
(u'bhphotovideo.com', 'b-hphotovideo.com.', 'b-hphotovideo.com', u'typo', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotovideo.org.il.', 'bhphotovideo.org.il', 'wrongTLD', '165.160.13.20')
(u'bhphotovideo.com', 'bhphotovideo.pe.', 'bhphotovideo.pe', 'wrongTLD', '165.160.13.20')
(u'bhphotovideo.com', 'bnhphotovideo.com.', 'bnhphotovideo.com', u'typo', '5.79.68.107')
(u'bhphotovideo.com', 'bnhphotovideo.com.', 'bnhphotovideo.com', u'typo', '5.79.68.108')
(u'bhphotovideo.com', 'bhphotovideo.am.', 'bhphotovideo.am', 'wrongTLD', '165.160.15.20')
(u'bhphotovideo.com', 'bhphotovideo.in.', 'bhphotovideo.in', 'wrongTLD', '165.160.15.20')
(u'bhphotovideo.com', 'bhphotovideos.biz.', 'bhphotovideos.biz', u'typo', '208.91.197.91')
(u'bhphotovideo.com', 'bhphotovideo.ag.', 'bhphotovideo.ag', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotovydeo.com.', 'bhphotovydeo.com', u'bits', '165.160.15.20')
(u'bhphotovideo.com', 'hbphotovideo.com.', 'hbphotovideo.com', u'typo', '216.157.88.22')
(u'bhphotovideo.com', 'bhphotowideo.com.', 'bhphotowideo.com', u'bits', '165.160.15.20')
(u'bhphotovideo.com', 'bhpohotovideo.com.', 'bhpohotovideo.com', u'typo', '165.160.13.20')
(u'bhphotovideo.com', 'bhphotovideo.vg.', 'bhphotovideo.vg', 'wrongTLD', '165.160.15.20')
(u'bhphotovideo.com', 'bhphotovideo.quebec.', 'bhphotovideo.quebec', 'wrongTLD', '216.40.47.17')
(u'bhphotovideo.com', 'bhphotovideoe.com.', 'bhphotovideoe.com', u'typo', '165.160.15.20')
(u'bhphotovideo.com', 'bhphotovideo.am.', 'bhphotovideo.am', 'wrongTLD', '165.160.13.20')
(u'bhphotovideo.com', 'bhphotovideo.in.', 'bhphotovideo.in', 'wrongTLD', '165.160.13.20')
(u'bhphotovideo.com', 'bhphtoovideo.com.', 'bhphtoovideo.com', u'typo', '165.160.15.20')
(u'bhphotovideo.com', 'bhphoovideo.com.', 'bhphoovideo.com', u'typo', '54.72.9.51')
(u'bhphotovideo.com', 'bhphotovideou.com.', 'bhphotovideou.com', u'typo', '165.160.15.20')
(u'bhphotovideo.com', 'bhphotovideo.ws.', 'bhphotovideo.ws', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotovydeo.com.', 'bhphotovydeo.com', u'bits', '165.160.13.20')
(u'bhphotovideo.com', 'bhphotovideo.com.hk.', 'bhphotovideo.com.hk', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotowideo.com.', 'bhphotowideo.com', u'bits', '165.160.13.20')
(u'bhphotovideo.com', 'bhphotovideo.vg.', 'bhphotovideo.vg', 'wrongTLD', '165.160.13.20')
(u'bhphotovideo.com', 'bhphotovideo.sg.', 'bhphotovideo.sg', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotvideo.com.', 'bhphotvideo.com', u'typo', '74.113.188.100')
(u'bhphotovideo.com', 'bhphoptovideo.com.', 'bhphoptovideo.com', u'typo', '165.160.15.20')
(u'bhphotovideo.com', 'bhphotovideoe.com.', 'bhphotovideoe.com', u'typo', '165.160.13.20')
(u'bhphotovideo.com', 'bhphotpvideo.com.', 'bhphotpvideo.com', u'typo', '184.168.221.60')
(u'bhphotovideo.com', 'bhphotovideos.org.', 'bhphotovideos.org', u'typo', '148.66.136.137')
(u'bhphotovideo.com', 'bhphotovide.com.', 'bhphotovide.com', u'typo', '199.191.50.73')
(u'bhphotovideo.com', 'jhphotovideo.com.', 'jhphotovideo.com', u'bits', '192.185.5.153')
(u'bhphotovideo.com', 'bhpphotovideo.com.', 'bhpphotovideo.com', u'typo', '146.148.34.125')
(u'bhphotovideo.com', 'bhphtoovideo.com.', 'bhphtoovideo.com', u'typo', '165.160.13.20')
(u'bhphotovideo.com', 'bhphotobideo.com.', 'bhphotobideo.com', u'typo', '165.160.15.20')
(u'bhphotovideo.com', 'bjphotovideo.com.', 'bjphotovideo.com', u'bits', '45.56.69.72')
(u'bhphotovideo.com', 'bhphotovideo.nyc.', 'bhphotovideo.nyc', 'wrongTLD', '165.160.15.20')
(u'bhphotovideo.com', 'bhphotovideo.co.in.', 'bhphotovideo.co.in', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bhphotovideo.ca.', 'bhphotovideo.ca', 'wrongTLD', '74.113.188.100')
(u'bhphotovideo.com', 'bxphotovideo.com.', 'bxphotovideo.com', u'bits', '50.63.202.30')
(u'bhphotovideo.com', 'bhphotovideo.vn.', 'bhphotovideo.vn', 'wrongTLD', '165.160.15.20')
