(u'hollywoodreporter.com', 'hollywoodreportr.com.', 'hollywoodreportr.com', u'typo', '54.239.172.223')
(u'hollywoodreporter.com', 'bollywoodreporter.net.', 'bollywoodreporter.net', u'typo', '216.239.34.21')
(u'hollywoodreporter.com', 'hollywooodreporter.com.', 'hollywooodreporter.com', u'typo', '52.84.74.207')
(u'hollywoodreporter.com', 'bollywoodreporter.us.', 'bollywoodreporter.us', u'typo', '69.64.147.243')
(u'hollywoodreporter.com', 'bollywoodreporter.net.', 'bollywoodreporter.net', u'typo', '216.239.32.21')
(u'hollywoodreporter.com', 'hollywooodreporter.com.', 'hollywooodreporter.com', u'typo', '54.239.172.149')
(u'hollywoodreporter.com', 'hollywooodreporter.com.', 'hollywooodreporter.com', u'typo', '52.84.74.163')
(u'hollywoodreporter.com', 'hollywoodreportr.com.', 'hollywoodreportr.com', u'typo', '54.239.172.189')
(u'hollywoodreporter.com', 'hollywoodreportr.com.', 'hollywoodreportr.com', u'typo', '13.32.188.186')
(u'hollywoodreporter.com', 'hollywoodreporte.com.', 'hollywoodreporte.com', u'typo', '144.76.1.130')
(u'hollywoodreporter.com', 'hollywooodreporter.com.', 'hollywooodreporter.com', u'typo', '52.84.74.217')
(u'hollywoodreporter.com', 'hollywoodreportr.com.', 'hollywoodreportr.com', u'typo', '54.239.172.125')
(u'hollywoodreporter.com', 'hollywoodreportr.com.', 'hollywoodreportr.com', u'typo', '13.32.188.121')
(u'hollywoodreporter.com', 'hollywoordreporter.com.', 'hollywoordreporter.com', u'typo', '173.239.5.6')
(u'hollywoodreporter.com', 'hollywooodreporter.com.', 'hollywooodreporter.com', u'typo', '54.239.172.54')
(u'hollywoodreporter.com', 'hollywoodreportr.com.', 'hollywoodreportr.com', u'typo', '13.32.188.123')
(u'hollywoodreporter.com', 'hollywoodreporter.la.', 'hollywoodreporter.la', 'wrongTLD', '66.33.221.58')
(u'hollywoodreporter.com', 'hollywoodrepoter.com.', 'hollywoodrepoter.com', u'typo', '103.224.212.222')
(u'hollywoodreporter.com', 'holywoodreporter.com.', 'holywoodreporter.com', u'typo', '208.73.211.165')
(u'hollywoodreporter.com', 'hollywoodreportre.com.', 'hollywoodreportre.com', u'typo', '54.88.246.157')
(u'hollywoodreporter.com', 'thehollywoodreporter-thailand.com.', 'thehollywoodreporter-thailand.com', 'combo', '139.59.252.248')
(u'hollywoodreporter.com', 'hollywoodreportr.com.', 'hollywoodreportr.com', u'typo', '13.32.188.246')
(u'hollywoodreporter.com', 'thehollywoodreporter-cymazarghamiprofile.com.', 'thehollywoodreporter-cymazarghamiprofile.com', 'combo', '70.32.68.124')
(u'hollywoodreporter.com', 'hollywoodreporter.org.', 'hollywoodreporter.org', 'wrongTLD', '67.221.183.120')
(u'hollywoodreporter.com', 'hollywoodreportr.com.', 'hollywoodreportr.com', u'typo', '13.32.188.136')
(u'hollywoodreporter.com', 'hollywooodreporter.com.', 'hollywooodreporter.com', u'typo', '54.239.172.68')
(u'hollywoodreporter.com', 'hollywoodreportr.com.', 'hollywoodreportr.com', u'typo', '13.32.188.138')
(u'hollywoodreporter.com', 'hollywoodreporer.com.', 'hollywoodreporer.com', u'typo', '143.95.244.190')
(u'hollywoodreporter.com', 'hollywoodreportre.com.', 'hollywoodreportre.com', u'typo', '52.206.28.201')
(u'hollywoodreporter.com', 'holluwoodreporter.com.', 'holluwoodreporter.com', u'typo', '213.186.33.5')
(u'hollywoodreporter.com', 'hollywooodreporter.com.', 'hollywooodreporter.com', u'typo', '54.239.172.214')
(u'hollywoodreporter.com', 'hollywoodreporter.pw.', 'hollywoodreporter.pw', 'wrongTLD', '141.8.226.58')
(u'hollywoodreporter.com', 'hollywoodreporters.com.', 'hollywoodreporters.com', u'typo', '207.148.248.143')
(u'hollywoodreporter.com', 'hollywooodreporter.com.', 'hollywooodreporter.com', u'typo', '52.84.74.66')
(u'hollywoodreporter.com', 'hollywoodrreporter.com.', 'hollywoodrreporter.com', u'typo', '69.64.147.10')
(u'hollywoodreporter.com', 'holywoodreporter.com.', 'holywoodreporter.com', u'typo', '208.73.211.177')
(u'hollywoodreporter.com', 'nollywoodreporter.com.', 'nollywoodreporter.com', u'typo', '50.63.202.36')
(u'hollywoodreporter.com', 'hollywoodreportr.com.', 'hollywoodreportr.com', u'typo', '54.239.172.148')
(u'hollywoodreporter.com', 'hollywoodreporte.com.', 'hollywoodreporte.com', u'typo', '144.76.0.242')
(u'hollywoodreporter.com', 'hollywooodreporter.com.', 'hollywooodreporter.com', u'typo', '54.239.172.11')
(u'hollywoodreporter.com', 'holywoodreporter.com.', 'holywoodreporter.com', u'typo', '208.73.210.202')
(u'hollywoodreporter.com', 'hollywoordreporter.com.', 'hollywoordreporter.com', u'typo', '213.247.47.190')
(u'hollywoodreporter.com', 'hollywood-reporter.net.', 'hollywood-reporter.net', u'typo', '213.5.71.14')
(u'hollywoodreporter.com', 'hollywoodreportr.com.', 'hollywoodreportr.com', u'typo', '13.32.188.156')
(u'hollywoodreporter.com', 'hollywoodreporter.mobi.', 'hollywoodreporter.mobi', 'wrongTLD', '208.91.197.27')
(u'hollywoodreporter.com', 'hollywooodreporter.com.', 'hollywooodreporter.com', u'typo', '54.239.172.23')
