(u'just-eat.co.uk', 'justeat.pl.', 'justeat.pl', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.delivery.', 'justeat.delivery', u'typo', '162.255.119.84')
(u'just-eat.co.uk', 'justmeat.co.uk.', 'justmeat.co.uk', u'bits', '69.172.201.153')
(u'just-eat.co.uk', 'just-eat-orderpoint.com.', 'just-eat-orderpoint.com', 'combo', '165.160.13.20')
(u'just-eat.co.uk', 'mx.just-eat-offer.co.uk.', 'mx.just-eat-offer.co.uk', 'combo', '185.176.43.23')
(u'just-eat.co.uk', 'just-eat-orderwall.ca.', 'just-eat-orderwall.ca', 'combo', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.fi.', 'justeat.fi', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'justeat.lt.', 'justeat.lt', u'typo', '79.98.25.1')
(u'just-eat.co.uk', 'just-east.com.', 'just-east.com', u'typo', '64.90.48.120')
(u'just-eat.co.uk', 'just-eat.net.', 'just-eat.net', 'wrongTLD', '165.160.13.20')
(u'just-eat.co.uk', 'justeat.sex.', 'justeat.sex', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.ph.', 'justeat.ph', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.biz.', 'justeat.biz', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'justeat.eu.', 'justeat.eu', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'just-eat.com.', 'just-eat.com', 'wrongTLD', '165.160.13.20')
(u'just-eat.co.uk', 'justeat.us.', 'justeat.us', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.xxx.', 'justeat.xxx', u'typo', '199.253.28.249')
(u'just-eat.co.uk', 'justeat.hk.', 'justeat.hk', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'just-eat-voucher.com.', 'just-eat-voucher.com', 'combo', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.ae.', 'justeat.ae', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.cz.', 'justeat.cz', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.co.', 'justeat.co', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'just-eat.training.', 'just-eat.training', 'wrongTLD', '217.160.223.44')
(u'just-eat.co.uk', 'justeat.pl.', 'justeat.pl', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'justeat.restaurant.', 'justeat.restaurant', u'typo', '77.72.0.82')
(u'just-eat.co.uk', 'justeat.at.', 'justeat.at', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.porn.', 'justeat.porn', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'justmeat.com.', 'justmeat.com', u'bits', '69.172.201.153')
(u'just-eat.co.uk', 'just-eat-orderwall.ca.', 'just-eat-orderwall.ca', 'combo', '165.160.13.20')
(u'just-eat.co.uk', 'justmeat.jp.', 'justmeat.jp', u'bits', '153.127.238.92')
(u'just-eat.co.uk', 'just-eat-halal.com.', 'just-eat-halal.com', 'combo', '217.160.233.197')
(u'just-eat.co.uk', 'just-eat-glasgow.co.uk.', 'just-eat-glasgow.co.uk', 'combo', '83.170.69.51')
(u'just-eat.co.uk', 'justeat.club.', 'justeat.club', u'typo', '185.53.179.7')
(u'just-eat.co.uk', 'justeat.be.', 'justeat.be', u'typo', '104.25.57.109')
