(u'shutterfly.com', 'syutterfly.com.', 'syutterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'invite-shutterfly.com.', 'invite-shutterfly.com', 'combo', '52.207.178.105')
(u'shutterfly.com', 'shuttorfly.com.', 'shuttorfly.com', u'homo', '136.179.236.70')
(u'shutterfly.com', 'sjhutterfly.com.', 'sjhutterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfly-photo.com.', 'shutterfly-photo.com', 'combo', '136.179.236.70')
(u'shutterfly.com', 'shutgerfly.com.', 'shutgerfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfoy.com.', 'shutterfoy.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shuytterfly.com.', 'shuytterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterflyc.com.', 'shutterflyc.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfly.cc.', 'shutterfly.cc', 'wrongTLD', '136.179.236.70')
(u'shutterfly.com', 'shutterfgly.com.', 'shutterfgly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'suhutterfly.com.', 'suhutterfly.com', u'typo', '52.86.163.26')
(u'shutterfly.com', 'shutterfloy.com.', 'shutterfloy.com', u'typo', '52.52.18.176')
(u'shutterfly.com', 'shutterfyl.com.', 'shutterfyl.com', u'typo', '103.224.182.238')
(u'shutterfly.com', 'shutterfli.org.', 'shutterfli.org', u'bits', '136.179.236.70')
(u'shutterfly.com', 'shurterfly.com.', 'shurterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shut6erfly.com.', 'shut6erfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutte4fly.com.', 'shutte4fly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'sh7tterfly.com.', 'sh7tterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfly-photography.com.', 'shutterfly-photography.com', 'combo', '52.52.64.247')
(u'shutterfly.com', 'shutrerfly.com.', 'shutrerfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterflu.com.', 'shutterflu.com', u'typo', '52.52.18.176')
(u'shutterfly.com', 'shutte5fly.com.', 'shutte5fly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfly.tw.', 'shutterfly.tw', 'wrongTLD', '136.179.236.70')
(u'shutterfly.com', 'shutterfly.xxx.', 'shutterfly.xxx', 'wrongTLD', '199.253.28.249')
(u'shutterfly.com', 'shutterfly.org.', 'shutterfly.org', 'wrongTLD', '136.179.236.70')
(u'shutterfly.com', 'shutterfly.jp.', 'shutterfly.jp', 'wrongTLD', '136.179.236.70')
(u'shutterfly.com', 'shutterfl7.com.', 'shutterfl7.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'zhutterfly.com.', 'zhutterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shgutterfly.com.', 'shgutterfly.com', u'typo', '52.52.18.176')
(u'shutterfly.com', 'shutterfly.net.', 'shutterfly.net', 'wrongTLD', '136.179.236.70')
(u'shutterfly.com', 'shutt4rfly.com.', 'shutt4rfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shuttergly.com.', 'shuttergly.com', u'bits', '52.52.18.176')
(u'shutterfly.com', 'shufterfly.com.', 'shufterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shhtterfly.com.', 'shhtterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shurrerfly.com.', 'shurrerfly.com', u'typo', '103.224.182.252')
(u'shutterfly.com', 'sahutterfly.com.', 'sahutterfly.com', u'typo', '52.52.64.247')
(u'shutterfly.com', 'slutterfly.com.', 'slutterfly.com', u'bits', '52.86.163.26')
(u'shutterfly.com', 'shyutterfly.com.', 'shyutterfly.com', u'typo', '23.22.216.234')
(u'shutterfly.com', 'shuitterfly.com.', 'shuitterfly.com', u'typo', '23.22.216.234')
(u'shutterfly.com', 'shutterfly.com.my.', 'shutterfly.com.my', 'wrongTLD', '136.179.236.70')
(u'shutterfly.com', 'shutteerfly.com.', 'shutteerfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfkly.com.', 'shutterfkly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterflh.com.', 'shutterflh.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfly.com.tw.', 'shutterfly.com.tw', 'wrongTLD', '136.179.236.70')
(u'shutterfly.com', 'shuttrrfly.com.', 'shuttrrfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfl6.com.', 'shutterfl6.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shjutterfly.com.', 'shjutterfly.com', u'typo', '52.52.64.247')
(u'shutterfly.com', 'shetterfly.com.', 'shetterfly.com', u'homo', '136.179.236.70')
(u'shutterfly.com', 'shutterflyi.com.', 'shutterflyi.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'ehutterfly.com.', 'ehutterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterrfly.com.', 'shutterrfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shhutterfly.com.', 'shhutterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfpy.com.', 'shutterfpy.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfly.online.', 'shutterfly.online', 'wrongTLD', '198.54.117.212')
(u'shutterfly.com', 'sjutterfly.com.', 'sjutterfly.com', u'bits', '136.179.236.70')
(u'shutterfly.com', 'sh8tterfly.com.', 'sh8tterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutteefly.com.', 'shutteefly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfdly.com.', 'shutterfdly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfly-pro.com.', 'shutterfly-pro.com', 'combo', '136.179.236.70')
(u'shutterfly.com', 'shutterfiy.com.', 'shutterfiy.com', u'homo', '136.179.236.70')
(u'shutterfly.com', 'shutterfly-photography.com.', 'shutterfly-photography.com', 'combo', '23.22.216.234')
(u'shutterfly.com', 'shutterflg.com.', 'shutterflg.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutteffly.com.', 'shutteffly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shuterfly.com.', 'shuterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterbly.com.', 'shutterbly.com', u'bits', '52.52.18.176')
(u'shutterfly.com', 'shuttrefly.com.', 'shuttrefly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfly.de.', 'shutterfly.de', 'wrongTLD', '78.46.64.4')
(u'shutterfly.com', 'shutterflyh.com.', 'shutterflyh.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfly.name.', 'shutterfly.name', 'wrongTLD', '136.179.236.70')
(u'shutterfly.com', 'shuttetrfly.com.', 'shuttetrfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'xhutterfly.com.', 'xhutterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfoly.com.', 'shutterfoly.com', u'typo', '136.179.236.70')
