(u'rabobank.com', 'rabobank.cr.', 'rabobank.cr', 'wrongTLD', '173.222.148.35')
(u'rabobank.com', 'rabobank.lv.', 'rabobank.lv', 'wrongTLD', '23.15.7.96')
(u'rabobank.com', 'rabobank.se.', 'rabobank.se', 'wrongTLD', '23.15.7.96')
(u'rabobank.com', 'rabobank.co.in.', 'rabobank.co.in', 'wrongTLD', '173.222.148.35')
(u'rabobank.com', 'rabobank.com.kh.', 'rabobank.com.kh', 'wrongTLD', '23.15.7.96')
(u'rabobank.com', 'rabobank.tk.', 'rabobank.tk', 'wrongTLD', '23.61.194.162')
(u'rabobank.com', 'rabobank.com.pt.', 'rabobank.com.pt', 'wrongTLD', '104.80.88.75')
(u'rabobank.com', 'rabobank.org.', 'rabobank.org', 'wrongTLD', '184.26.136.139')
(u'rabobank.com', 'rabobank.tw.', 'rabobank.tw', 'wrongTLD', '23.15.7.96')
(u'rabobank.com', 'rabobank.ph.', 'rabobank.ph', 'wrongTLD', '173.222.148.49')
(u'rabobank.com', 'rabobank.org.', 'rabobank.org', 'wrongTLD', '104.80.88.121')
(u'rabobank.com', 'rab0bank.ph.', 'rab0bank.ph', u'homo', '45.79.222.138')
(u'rabobank.com', 'rabobank.lv.', 'rabobank.lv', 'wrongTLD', '23.59.190.16')
(u'rabobank.com', 'rabobank.ug.', 'rabobank.ug', 'wrongTLD', '23.15.7.96')
(u'rabobank.com', 'rabobank.com.es.', 'rabobank.com.es', 'wrongTLD', '23.59.190.25')
(u'rabobank.com', 'rabobank.fi.', 'rabobank.fi', 'wrongTLD', '23.61.194.242')
(u'rabobank.com', 'rabobank.dk.', 'rabobank.dk', 'wrongTLD', '85.119.19.147')
(u'rabobank.com', 'rabobank.tw.', 'rabobank.tw', 'wrongTLD', '23.59.190.16')
(u'rabobank.com', 'rabobank.sg.', 'rabobank.sg', 'wrongTLD', '184.26.136.59')
(u'rabobank.com', 'rabobank.jp.', 'rabobank.jp', 'wrongTLD', '23.59.190.16')
(u'rabobank.com', 'rabobankn.com.', 'rabobankn.com', u'typo', '67.21.94.5')
(u'rabobank.com', 'rabobank.co.ao.', 'rabobank.co.ao', 'wrongTLD', '127.0.0.1')
(u'rabobank.com', 'rabobank.me.', 'rabobank.me', 'wrongTLD', '104.80.88.75')
(u'rabobank.com', 'rabobank.name.', 'rabobank.name', 'wrongTLD', '104.96.220.114')
(u'rabobank.com', 'rabbobank.com.', 'rabbobank.com', u'typo', '50.63.202.16')
(u'rabobank.com', 'rabobank.com.pt.', 'rabobank.com.pt', 'wrongTLD', '104.80.88.121')
(u'rabobank.com', 'rabobank.gg.', 'rabobank.gg', 'wrongTLD', '23.59.190.16')
(u'rabobank.com', 'rabobank.es.', 'rabobank.es', 'wrongTLD', '104.80.88.75')
(u'rabobank.com', 'rabobank.co.th.', 'rabobank.co.th', 'wrongTLD', '104.80.88.121')
(u'rabobank.com', 'rabobank.com.ng.', 'rabobank.com.ng', 'wrongTLD', '173.222.148.35')
(u'rabobank.com', 'rabobank.xxx.', 'rabobank.xxx', 'wrongTLD', '199.253.28.249')
(u'rabobank.com', 'rabobank.fi.', 'rabobank.fi', 'wrongTLD', '184.26.136.139')
(u'rabobank.com', 'rabobank.es.', 'rabobank.es', 'wrongTLD', '23.61.194.162')
(u'rabobank.com', 'rabobank.com.py.', 'rabobank.com.py', 'wrongTLD', '23.15.7.144')
(u'rabobank.com', 'rabobank.bg.', 'rabobank.bg', 'wrongTLD', '173.222.148.35')
(u'rabobank.com', 'rabobank.com.hk.', 'rabobank.com.hk', 'wrongTLD', '104.80.88.75')
(u'rabobank.com', 'rabobank.si.', 'rabobank.si', 'wrongTLD', '23.59.190.25')
(u'rabobank.com', 'rabobank.club.', 'rabobank.club', 'wrongTLD', '47.89.58.32')
(u'rabobank.com', 'rabboank.nl.', 'rabboank.nl', u'typo', '199.59.242.150')
(u'rabobank.com', 'rabobank-nv.com.', 'rabobank-nv.com', 'combo', '67.21.94.5')
(u'rabobank.com', 'rabobank.com.ng.', 'rabobank.com.ng', 'wrongTLD', '23.59.190.16')
(u'rabobank.com', 'rabobank.vn.', 'rabobank.vn', 'wrongTLD', '173.222.148.49')
(u'rabobank.com', 'eabobank.nl.', 'eabobank.nl', u'typo', '5.157.84.41')
(u'rabobank.com', 'rabobank-international.com.', 'rabobank-international.com', 'combo', '184.26.136.59')
(u'rabobank.com', 'rabobank.me.', 'rabobank.me', 'wrongTLD', '104.80.88.121')
(u'rabobank.com', 'rabobank.asia.', 'rabobank.asia', 'wrongTLD', '104.80.88.75')
(u'rabobank.com', 'rabobank.org.', 'rabobank.org', 'wrongTLD', '173.222.148.35')
(u'rabobank.com', 'rabobank.bg.', 'rabobank.bg', 'wrongTLD', '23.59.190.16')
(u'rabobank.com', 'rabobank.es.', 'rabobank.es', 'wrongTLD', '104.80.88.121')
(u'rabobank.com', 'rabobank.cr.', 'rabobank.cr', 'wrongTLD', '173.222.148.49')
(u'rabobank.com', 'rabobank.us.', 'rabobank.us', 'wrongTLD', '23.61.194.242')
(u'rabobank.com', 'rabobank.name.', 'rabobank.name', 'wrongTLD', '104.96.220.185')
(u'rabobank.com', 'rabobank.co.in.', 'rabobank.co.in', 'wrongTLD', '173.222.148.49')
(u'rabobank.com', 'nfc2-rabobank.us.', 'nfc2-rabobank.us', 'combo', '104.28.31.249')
(u'rabobank.com', 'rabobank.lv.', 'rabobank.lv', 'wrongTLD', '23.59.190.25')
(u'rabobank.com', 'compliance-rabobank.com.', 'compliance-rabobank.com', 'combo', '50.63.202.54')
(u'rabobank.com', 'localhost.rabobank-international.com.', 'localhost.rabobank-international.com', 'combo', '127.0.0.1')
(u'rabobank.com', 'rabobank.kg.', 'rabobank.kg', 'wrongTLD', '173.222.148.35')
(u'rabobank.com', 'rabobank.com.hk.', 'rabobank.com.hk', 'wrongTLD', '104.80.88.121')
(u'rabobank.com', 'reabobank.nl.', 'reabobank.nl', u'typo', '162.210.196.167')
(u'rabobank.com', 'rabobank.kg.', 'rabobank.kg', 'wrongTLD', '23.15.7.96')
(u'rabobank.com', 'rabobank.tk.', 'rabobank.tk', 'wrongTLD', '23.15.7.96')
(u'rabobank.com', 'rabobank.tw.', 'rabobank.tw', 'wrongTLD', '23.59.190.25')
