(u'shutterstock.com', 'dhutterstock.com.', 'dhutterstock.com', u'typo', '52.52.18.176')
(u'shutterstock.com', 'shutterstoick.com.', 'shutterstoick.com', u'typo', '216.146.46.10')
(u'shutterstock.com', 'shutteratock.com.', 'shutteratock.com', u'typo', '69.162.80.58')
(u'shutterstock.com', 'shuttersttock.com.', 'shuttersttock.com', u'typo', '52.52.64.247')
(u'shutterstock.com', 'shutterstoick.com.', 'shutterstoick.com', u'typo', '216.146.46.11')
(u'shutterstock.com', 'sjutterstock.com.', 'sjutterstock.com', u'bits', '52.52.18.176')
(u'shutterstock.com', 'shytterstock.com.', 'shytterstock.com', u'typo', '52.86.163.26')
(u'shutterstock.com', 'shjtterstock.com.', 'shjtterstock.com', u'typo', '216.146.46.10')
(u'shutterstock.com', 'shuttrrstock.com.', 'shuttrrstock.com', u'typo', '23.22.216.234')
(u'shutterstock.com', 'shuitterstock.com.', 'shuitterstock.com', u'typo', '23.22.216.234')
(u'shutterstock.com', 'shutterstck.com.', 'shutterstck.com', u'typo', '192.64.147.196')
(u'shutterstock.com', 'shjtterstock.com.', 'shjtterstock.com', u'typo', '216.146.46.11')
(u'shutterstock.com', 'shutterctock.com.', 'shutterctock.com', u'bits', '52.52.18.176')
(u'shutterstock.com', 'shuttersotck.com.', 'shuttersotck.com', u'typo', '52.86.163.26')
(u'shutterstock.com', 'shuttrestock.com.', 'shuttrestock.com', u'typo', '72.52.178.23')
(u'shutterstock.com', 'shuttertock.com.', 'shuttertock.com', u'typo', '52.86.163.26')
(u'shutterstock.com', 'snutterstock.com.', 'snutterstock.com', u'typo', '23.22.216.234')
(u'shutterstock.com', 'shutterstosk.com.', 'shutterstosk.com', u'bits', '52.86.163.26')
(u'shutterstock.com', 'shutterstockl.com.', 'shutterstockl.com', u'typo', '52.86.163.26')
(u'shutterstock.com', 'shetterstock.com.', 'shetterstock.com', u'homo', '52.86.163.26')
(u'shutterstock.com', 'shuterstock.com.br.', 'shuterstock.com.br', u'typo', '108.179.232.88')
(u'shutterstock.com', 'suhtterstock.com.', 'suhtterstock.com', u'typo', '52.52.64.247')
(u'shutterstock.com', 'shutterstack.com.', 'shutterstack.com', u'homo', '52.52.64.247')
(u'shutterstock.com', 'shutterstock.tech.', 'shutterstock.tech', 'wrongTLD', '195.110.124.133')
(u'shutterstock.com', 'shuttarstock.com.', 'shuttarstock.com', u'homo', '52.52.18.176')
(u'shutterstock.com', 'shutterstock.sk.', 'shutterstock.sk', 'wrongTLD', '162.212.41.30')
(u'shutterstock.com', 'shatterstock.com.', 'shatterstock.com', u'homo', '23.22.216.234')
(u'shutterstock.com', 'chutterstock.com.', 'chutterstock.com', u'bits', '52.52.64.247')
