(u'homedepot.com', 'homede4pot.com.', 'homede4pot.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'spectra-homedepot.com.', 'spectra-homedepot.com', 'combo', '98.124.245.24')
(u'homedepot.com', 'homedepo9t.com.', 'homedepo9t.com', u'typo', '23.22.216.234')
(u'homedepot.com', 'homedepotc.com.', 'homedepotc.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'h9omedepot.com.', 'h9omedepot.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'ho9medepot.com.', 'ho9medepot.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'homdepot.net.', 'homdepot.net', u'typo', '52.52.18.176')
(u'homedepot.com', 'homedeot.com.', 'homedeot.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'homefdepot.com.', 'homefdepot.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'homedepkt.com.', 'homedepkt.com', u'bits', '52.86.163.26')
(u'homedepot.com', 'uomedepot.com.', 'uomedepot.com', u'typo', '23.22.216.234')
(u'homedepot.com', 'yomedepot.com.', 'yomedepot.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'homedepotj.com.', 'homedepotj.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'homedspot.com.', 'homedspot.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'homrdepot.ca.', 'homrdepot.ca', u'typo', '208.73.211.177')
(u'homedepot.com', 'homedeppot.com.', 'homedeppot.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'homedepoth.com.', 'homedepoth.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'homadepot.com.', 'homadepot.com', u'homo', '52.52.64.247')
(u'homedepot.com', 'homedepot.at.', 'homedepot.at', 'wrongTLD', '165.160.13.20')
(u'homedepot.com', 'homedelot.com.', 'homedelot.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'homedrpot.ca.', 'homedrpot.ca', u'typo', '104.18.41.115')
(u'homedepot.com', 'homede3pot.com.', 'homede3pot.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'homedepots.net.', 'homedepots.net', u'typo', '52.52.64.247')
(u'homedepot.com', 'homedepor.com.', 'homedepor.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'omedepot.com.', 'omedepot.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'homedwpot.com.', 'homedwpot.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'the-homedepot.net.', 'the-homedepot.net', 'combo', '52.86.163.26')
(u'homedepot.com', 'hhomedepot.com.', 'hhomedepot.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'homezdepot.com.', 'homezdepot.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'hgomedepot.com.', 'hgomedepot.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'rainbow-homedepot.org.', 'rainbow-homedepot.org', 'combo', '184.168.221.29')
(u'homedepot.com', 'hmoedepot.com.', 'hmoedepot.com', u'typo', '23.22.216.234')
(u'homedepot.com', 'homedeopot.com.', 'homedeopot.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'homedrpot.com.', 'homedrpot.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'ohmedepot.com.', 'ohmedepot.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'homedept.com.', 'homedept.com', u'typo', '85.159.233.44')
(u'homedepot.com', 'honmedepot.com.', 'honmedepot.com', u'typo', '23.22.216.234')
(u'homedepot.com', 'hjomedepot.com.', 'hjomedepot.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'hokedepot.com.', 'hokedepot.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'homedrepot.com.', 'homedrepot.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'h0omedepot.com.', 'h0omedepot.com', u'typo', '23.22.216.234')
(u'homedepot.com', 'hoimedepot.com.', 'hoimedepot.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'homedepokt.com.', 'homedepokt.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'homedepotm.com.', 'homedepotm.com', u'typo', '23.22.216.234')
(u'homedepot.com', 'homedepkt.com.', 'homedepkt.com', u'bits', '52.52.64.247')
(u'homedepot.com', 'homeedpot.com.', 'homeedpot.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'homedepotz.com.', 'homedepotz.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'homedepot.gr.', 'homedepot.gr', 'wrongTLD', '207.11.7.78')
(u'homedepot.com', 'hom4edepot.com.', 'hom4edepot.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'homedep-ot.com.', 'homedep-ot.com', u'typo', '185.53.179.7')
(u'homedepot.com', 'homedeppot.com.', 'homedeppot.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'homjedepot.com.', 'homjedepot.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'homedepotb.com.', 'homedepotb.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'homedepor.ca.', 'homedepor.ca', u'typo', '104.28.22.201')
(u'homedepot.com', 'h9medepot.com.', 'h9medepot.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'homederpot.com.', 'homederpot.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'hojmedepot.com.', 'hojmedepot.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'homesdepot.net.', 'homesdepot.net', u'typo', '52.52.18.176')
(u'homedepot.com', 'homedepod.com.', 'homedepod.com', u'bits', '52.52.64.247')
(u'homedepot.com', 'homedepto.com.', 'homedepto.com', u'typo', '209.15.13.134')
(u'homedepot.com', 'homnedepot.com.', 'homnedepot.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'homedepot.vn.', 'homedepot.vn', 'wrongTLD', '207.11.34.219')
(u'homedepot.com', 'homexepot.com.', 'homexepot.com', u'typo', '23.22.216.234')
(u'homedepot.com', 'homeepot.com.', 'homeepot.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'homedwepot.com.', 'homedwepot.com', u'typo', '23.22.216.234')
(u'homedepot.com', 'honedepot.com.', 'honedepot.com', u'homo', '52.86.163.26')
(u'homedepot.com', 'homedepoto.com.', 'homedepoto.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'honedepot.ca.', 'honedepot.ca', u'homo', '208.73.211.165')
